ID,Ref,Tidning,Hemisphere,Lat midpoint,Lat(abs),Lat range,exakt long,system,habitat,organisms,group,trophic position,dispersal type ,living type,log body size,parasites,method,Level,regression,N(loglog),Rztransfrom(loglog),Var rz(loglog),log c(loglog),Area(scala)loglog,log c(m2)(loglog),Slope z(loglog),zSE(loglog),zSEsq(loglog),log minAm2,log maxAm2,log meanAm2
588,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,endemic plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,25,0.59014516,0.045454545,1.876,km2,0.025,0.308,0.103,0.010609,10.26951294,12.37327989,11.84371354
589,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,,log-log,25,0.457445576,0.045454545,0.861,km2,-0.61,0.245,0.108,0.011664,10.26951294,12.37327989,11.84371354
590,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,endemic mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,,log-log,25,0.718533343,0.045454545,-1.371,km2,-4.482,0.518,0.138,0.019044,10.26951294,12.37327989,11.84371354
591,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,,log-log,25,0.696278061,0.045454545,-0.892,km2,-4.131,0.54,0.149,0.022201,10.26951294,12.37327989,11.84371354
592,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,endemic reptiles,reptiles,omnivores,mobility,mobile,2.8114,no,independent,,log-log,25,0.307323247,0.045454545,0.619,km2,-0.729,0.225,0.15,0.0225,10.26951294,12.37327989,11.84371354
593,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,amphibians,amphibians,omnivores,mobility,mobile,1.0599,no,independent,,log-log,25,0.812559889,0.045454545,-2.688,km2,-7.528,0.807,0.186,0.034596,10.26951294,12.37327989,11.84371354
594,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,endemic amphibians,amphibians,omnivores,mobility,mobile,1.0599,no,independent,,log-log,25,0.725005088,0.045454545,-2.597,km2,-7.134,0.756,0.2,0.04,10.26951294,12.37327989,11.84371354
595,Myers et al 2000,Nature 403:853-858,,,,,,terrestrial,,endemic birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,25,0.39655799,0.045454545,-0.671,km2,-3.233,0.427,0.219,0.047961,10.26951294,12.37327989,11.84371354
596,Natuhara & Imai 1999,Biodiversity and Conservation 8: 239-253,northern,35.06666667,35.06666667,,135.2166667,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,31,1.62956775,0.035714286,0.707,ha,-0.137,0.211,0.016,0.000256,2.77815125,8.810904281,7.435463555
597,Newmark 1986,Biol J of the Linnean Society 28: 83-98,northern,43.915,43.915,16.71,,terrestrial,,mammals,mammals,omnivores,mobility,mobile,2.8619,no,independent,,log-log,24,1.175413881,0.047619048,1.263,km2,0.519,0.124,0.018,0.000324,7.919078092,10.31672498,9.38841952
598,Newton & Haigh 1998,New Phytol 138: 619-627,northern,,,,,terrestrial,forest,ectomycorrhizal fungi,Fungi,decomposers,spores,sessile,,no,independent,,log-log,17,0.555995207,0.071428571,-1.42,ha,-3.86,0.61,0.269,0.072361,7.51375015,9.810801568,9.07400522
599,Newton 1995 (from Boström & Nilsson 1983),J of Animal Ecology 64: 675-696,northern,,,,,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,62,1.129943721,0.016949153,-0.129,ha,-1.873,0.436,0.041,0.001681,4.903089987,6.738780558,6.046104787
600,Newton 1995 (from Elmberg et al 1994),J of Animal Ecology 64: 675-696,northern,,,,,terrestrial,lakes,waterfowl,birds,omnivores,flying,flying,2.9005,no,independent,,log-log,27,0.599930345,0.041666667,0.272,ha,-1.236,0.377,0.119,0.014161,4.301029996,5.695481676,5.15715444
601,Newton 1995 (from Ford 1987),J of Animal Ecology 64: 675-696,northern,,,,,terrestrial,forest,landbirds,birds,omnivores,flying,flying,2.0725,no,independent,,log-log,20,1.147727958,0.058823529,1.029,ha,-0.359,0.347,0.058,0.003364,3.190331698,5.382017043,4.473632927
602,Newton 1995 (from Fuller 1982),J of Animal Ecology 64: 675-696,northern,,,,,terrestrial,marine,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,6,2.272912254,0.333333333,-0.827,ha,-3.771,0.736,0.077,0.005929,5.799340549,6.5774918,6.367169489
603,Newton 1995 (from Hinsley et al 1995),J of Animal Ecology 64: 675-696,northern,52.5,52.5,,1.5,terrestrial,forest,breeding birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,137,1.181741638,0.007462687,0.958,ha,-0.418,0.344,0.02,0.0004,2.301029996,5.488550717,4.290479813
604,Niell 1977,Inv Pesq 41: 509-521,northern,42.3,42.3,,-9,terrestrial,islands,macrophytobenthos,nonvascular plants,autotrophs,spores,sessile,1,no,nested,,log-log,35,1.403007507,0.03125,0.023,cm2,1.923,0.475,0.043,0.001849,-1.52920449,-0.317935921,-0.695886412
605,Niell 1977,Inv Pesq 41: 509-521,northern,42.3,42.3,,-9,terrestrial,islands,macrophytobenthos,nonvascular plants,autotrophs,spores,sessile,1,no,nested,,log-log,40,1.842138521,0.027027027,0.194,cm2,1.858,0.416,0.022,0.000484,-1.52838269,-0.319005476,-0.660124012
606,Niell 1977,Inv Pesq 41: 509-521,northern,42.3,42.3,,-9,terrestrial,islands,macrophytobenthos,nonvascular plants,autotrophs,spores,sessile,1,no,nested,,log-log,54,2.028697888,0.019607843,-0.158,cm2,1.622,0.445,0.016,0.000256,-1.511885207,-0.15858853,-0.459546888
607,Niell 1977,Inv Pesq 41: 509-521,northern,42.3,42.3,,-9,terrestrial,islands,macrophytobenthos,nonvascular plants,autotrophs,spores,sessile,1,no,nested,,log-log,58,2.297559925,0.018181818,0.364,cm2,2.048,0.421,0.012,0.000144,-2.043447408,-0.431391286,-0.764990239
608,Niell 1977,Inv Pesq 41: 509-521,northern,42.3,42.3,,-9,terrestrial,islands,macrophytobenthos,nonvascular plants,autotrophs,spores,sessile,1,no,nested,,log-log,61,1.773575647,0.017241379,-0.111,cm2,1.569,0.42,0.019,0.000361,-1.606782908,-0.140652415,-0.443842409
609,Niell 1977,Inv Pesq 41: 509-521,northern,42.3,42.3,,-9,terrestrial,islands,macrophytobenthos,nonvascular plants,autotrophs,spores,sessile,1,no,nested,,log-log,68,2.075646937,0.015384615,0.438,cm2,2.05,0.403,0.013,0.000169,-2.106021977,-0.433261258,-0.818094987
610,Nieminen & Hanski 1998,J of Animal Ecology 67: 149-160,northern,60,60,,21.5,terrestrial,islands,moths (Macrolepidoptera),insects,herbivores,flying,flying,-1.15,no,independent,A2b,log-log,11,1.398375486,0.125,1.619,ha,0.159,0.365,0.064,0.004096,3.505149978,4.807535028,4.394451681
611,Nieminen & Hanski 1998,J of Animal Ecology 67: 149-160,northern,60,60,,21.5,terrestrial,islands,moths (Macrolepidoptera),insects,herbivores,flying,flying,-1.15,no,independent,A2b,log-log,16,1.274453116,0.076923077,1.948,ha,0.888,0.265,0.043,0.001849,4.515873844,5.62355939,5.198106999
612,Nieminen & Hanski 1998,J of Animal Ecology 67: 149-160,northern,60,60,,21.5,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,28,1.037755028,0.04,1.625,ha,1.029,0.149,0.024,0.000576,3.491361694,5.635182049,5.009025742
613,Hanski & Gyllenberg 1997,"from Hanski & Gyllenberg1997, Science 275: 397-400",northern,,,,,terrestrial,islands,moth,insects,herbivores,flying,flying,-1.15,no,independent,,log-log,41,1.341366197,0.026315789,1.598,okänd,,0.281,0.025,0.000625,-0.537602002,1.961231197,7.040879125
614,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,1,1,0.01,,terrestrial,islands,vascular plants,plants,autotrophs,seeds,sessile,1,no,independent,,log-log,28,1.270747062,0.04,1.969,km2,-0.641,0.435,,,,,4.301029996
615,Nilsson et al 1988,J of Animal Ecology 57: 685-704,northern,59.5,59.5,,17,terrestrial,islands,trees,plants,autotrophs,seeds,sessile,4.64,no,independent,A2b,log-log,17,1.000967066,0.071428571,1.315,ha,0.911,0.101,0.022,0.000484,3.77815125,5.870988814,5.025305865
616,Nilsson et al 1988,J of Animal Ecology 57: 685-704,northern,59.5,59.5,,17,terrestrial,islands,landsnails,molluscs,omnivores,mobility,mobile,-1.597,no,independent,A2b,log-log,17,0.699420789,0.071428571,1.088,ha,0.496,0.148,0.05,0.0025,3.77815125,5.870988814,5.025305865
617,Nilsson et al 1988,J of Animal Ecology 57: 685-704,northern,59.5,59.5,,17,terrestrial,islands,carabid beetles,insects,omnivores,flying,mobile,-0.351,no,independent,A2b,log-log,17,0.961623145,0.071428571,0.83,ha,-0.646,0.369,0.085,0.007225,3.77815125,5.870988814,5.025305865
618,Nores 1995,J of Biogeography 22: 61-70,southern,-30,30,8,,terrestrial,forest,birds,birds,omnivores,flying,flying,2.167739032,no,,,log-log,9,1.44150359,0.166666667,0.197,km2,-1.975,0.362,0.069,0.004761,7.113943352,9.556302501,9.081227374
619,Oberdorff et al. 1998,J Anim Ecol 67: 472-484,northern,49,49,,-1,water,streams,fish,fish,omnivores,mobility,nekton,2.0969,no,independent,,log-log,9,0.716923451,0.166666667,0.784,km2,-0.188,0.162,0.079,0.006241,7.397940009,8.158362492,7.816830274
620,Obeso & Aedo 1991,J of Vegetation Science 3: 129-132,northern,43.515,43.515,0.23,-5.765,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,28,1.010575633,0.04,-0.621,m2,-0.621,0.342,0.056,0.003136,2.397940009,5.42975228,4.596812178
621,Obeso & Aedo 1991,J of Vegetation Science 3: 129-132,northern,43.515,43.515,0.23,-5.765,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,30,0.86926401,0.037037037,-1.126,m2,-1.126,0.399,0.077,0.005929,2.698970004,5.851869601,4.973138674
622,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,37,37,4,,terrestrial,forest,lepidoptera,insects,herbivores,flying,flying,-0.151,no,independent,,log-log,15,1.821623033,0.083333333,-1.155,km2,-3.945,0.465,,,,,10.58100884
623,Osman 1978,Ecology 59: 383-399,northern,41.52,41.52,,-70.6678,water,marine,sessile animals,zoobenthos,omnivores,pelagic larvae,sessile,-1.584,no,independent,,log-log,5,2.758726448,0.5,0.876,cm2,1.984,0.277,0.02,0.0004,-2.853871964,-1.53313238,-1.774690718
624,Osman 1978,Ecology 59: 383-399,northern,41.52,41.52,,-70.6678,water,marine,sessile animals,zoobenthos,omnivores,pelagic larvae,sessile,-1.584,no,independent,,log-log,14,1.533372787,0.090909091,-0.786,cm2,2.826,0.903,0.118,0.013924,-3.15490196,-1.565431096,-2.15490196
625,Osman 1978,Ecology 59: 383-399,northern,41.52,41.52,,-70.6678,water,marine,sessile animals,zoobenthos,omnivores,pelagic larvae,sessile,-1.584,no,independent,,log-log,20,0.952693439,0.058823529,-0.023,cm2,2.105,0.532,0.114,0.012996,-3.397940009,-1.617982957,-2.346787486
626,Osman 1978,Ecology 59: 383-399,northern,41.52,41.52,,-70.6678,water,marine,sessile animals,zoobenthos,omnivores,pelagic larvae,sessile,-1.584,no,independent,,log-log,23,0.382642354,0.05,-0.092,cm2,0.58,0.168,0.094,0.008836,-3.096910013,-1.3400838,-1.793174124
627,Osman 1978,Ecology 59: 383-399,northern,41.52,41.52,,-70.6678,water,marine,sessile animals,zoobenthos,omnivores,pelagic larvae,sessile,-1.584,no,independent,,log-log,32,0.857563122,0.034482759,-0.445,cm2,1.295,0.435,0.082,0.006724,-2.920818754,-1.021363052,-1.777283529
628,Ottosson & Anderson 1983,J of Animal Ecology 52: 385-406,northern,,,,,terrestrial,,insects,insects,omnivores,flying,flying,-2.301,no,,,log-log,,0.693147181,,-0.434,km2,-2.636,0.367,,,7,9.477121255,
629,Ottosson & Anderson 1983,J of Animal Ecology 52: 385-406,northern,,,,,terrestrial,,insects,insects,omnivores,flying,flying,-2.301,no,,,log-log,,1.250872559,,-0.572,km2,-4.028,0.576,,,7,9.477121255,
630,Paijmans 1970,J of Ecology 58: 77-101,southern,-7,7,,148,terrestrial,forest,trees >12 inch girth,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,79,2.127299512,0.013157895,2.212,ha,-0.556,0.692,0.019,0.000361,2.556302501,3.904174368,3.618048097
631,Panitsa & Tzanoudakis 2001,Folia Geobotanica 36: 265-279,northern,37.4,37.4,,26.77,terrestrial,islands,plants,plants,autotrophs,seeds,sessile,1,no,independent,A2b,log-log,37,0.857563122,0.029411765,1.996,km2,0.148,0.308,0.054,0.002916,2.698970004,9.826074803,8.25916415
632,Pannach 1987,Braunschw Naturk Schr 2: 751-757,northern,52.2,52.2,,10.5,terrestrial,non-forest,birds,birds,omnivores,flying,flying,2.167739032,no,independent,,log-log,5,0.680739596,0.5,1.129,ha,0.225,0.226,0.178,0.031684,3.77815125,4.431363764,4.079181246
633,Park & Lee 2000,Landscape and Urban Planning 51: 29-36,northern,38.5,38.5,,127,terrestrial,,birds,birds,omnivores,flying,flying,2.167739032,no,,,log-log,43,1.364777193,0.025,0.677606953,ha,-0.162393047,0.21,,,3.204119983,6.551449998,5.820989176
634,Parthasarathy & Karthikeyan 1997,Tropical Ecology 38: 297-306,northern,8.915,8.915,0.17,77.25,terrestrial,forest,woody plants,plants,autotrophs,seeds,sessile,4.349,no,nested,,log-log,11,3.250394522,0.125,-0.299,m2,-0.299,0.511,0.013,0.000169,2,4,9.699758914
635,Parthasarathy 1999,Biodiversity and Conservation 8: 1365-1381,northern,8.5,8.5,0.16,77.5,terrestrial,forest,trees,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,10,2.903069241,0.142857143,1.952,ha,-0.06,0.503,0.019,0.000361,3,4,3.740362689
636,Parthasarathy 1999,Biodiversity and Conservation 8: 1365-1381,northern,8.5,8.5,0.16,77.5,terrestrial,forest,trees,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,10,2.514715943,0.142857143,1.933,ha,0.417,0.379,0.028,0.000784,3,4,3.740362689
637,Parthasarathy 1999,Biodiversity and Conservation 8: 1365-1381,northern,8.5,8.5,0.16,77.5,terrestrial,forest,trees,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,10,2.350744978,0.142857143,1.915,ha,0.049,0.461,0.031,0.000961,3,4,3.740362689
638,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,2.531277486,1,1.053078443,m2,1.053078443,0.188,,,-0.602059991,0.954242509,0.551754873
639,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,2.199202367,1,1.045322979,m2,1.045322979,0.194,,,-0.602059991,0.954242509,0.551754873
640,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,2.861284182,1,0.828015064,m2,0.828015064,0.195,,,-0.602059991,0.954242509,0.551754873
641,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,2.511412245,1,1.021189299,m2,1.021189299,0.207,,,-0.602059991,0.954242509,0.551754873
642,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,2.075976727,1,0.918554531,m2,0.918554531,0.214,,,-0.602059991,0.954242509,0.551754873
643,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,1.620261188,1,0.80685803,m2,0.80685803,0.242,,,-0.602059991,0.954242509,0.551754873
644,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,1.670859095,1,0.935507266,m2,0.935507266,0.243,,,-0.602059991,0.954242509,0.551754873
645,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,2.861284182,1,0.876217841,m2,0.876217841,0.265,,,-0.602059991,0.954242509,0.551754873
646,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,2.756706243,1,0.916453949,m2,0.916453949,0.321,,,-0.602059991,0.954242509,0.551754873
647,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,2.120045478,1,0.862131379,m2,0.862131379,0.355,,,-0.602059991,0.954242509,0.551754873
648,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,1.577116081,1,0.606381365,m2,0.606381365,0.365,,,-0.602059991,0.954242509,0.551754873
649,Pastor et al 1996,Oikos 77: 399-406,northern,48.5,48.5,,-93,terrestrial,non-forest,plants,plants,autotrophs,seeds,sessile,1,no,nested,,log-log,4,1.735314094,1,0.821513528,m2,0.821513528,0.424,,,-0.602059991,0.954242509,0.551754873
650,Connor & McCoy 1979,"from Connor & McCoy 1979, Am Nat 113: 791-833",northern,39.51,39.51,0.01,,water,,diatoms,nonvascular plants,autotrophs,passive,plankton,-9.414,no,,,log-log,6,1.194599783,0.333333333,-0.107,mm2,3.895,0.667,,,,,
651,Peake & Quinn 1993,Ecography 16: 269-277,southern,-38.45,38.45,,145.25,water,marine,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,19,1.493682012,0.0625,0.412,"0,0001 m2",1.792,0.345,0.04,0.0016,-3.317403709,-1.620926652,-2.240135823
652,Peake & Quinn 1993,Ecography 16: 269-277,southern,-38.45,38.45,,145.25,water,marine,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,24,1.589026915,0.047619048,0.366,"0,0001 m2",2.286,0.48,0.044,0.001936,-3.485850866,-1.579359498,-2.140849689
653,Peake & Quinn 1993,Ecography 16: 269-277,southern,-38.45,38.45,,145.25,water,marine,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,24,1.417136333,0.047619048,0.322,"0,0001 m2",2.066,0.436,0.048,0.002304,-3.893469146,-1.542115077,-2.062141225
654,Peake & Quinn 1993,Ecography 16: 269-277,southern,-38.45,38.45,,145.25,water,marine,invertebrates,zoobenthos,omnivores,mobility,mobile,-1.584,no,independent,,log-log,23,1.461791583,0.05,0.468,"0,0001 m2",2.096,0.407,0.044,0.001936,-3.35222595,-1.561834361,-2.139590116
655,Peck & Howden 1985,Can J Zool 63: 2730-2737,northern,25,25,,-81.5,terrestrial,islands,scavenging scarab beetles,insects,decomposers,flying,mobile,-0.351,no,independent ,A2b,log-log,21,1.169151588,0.055555556,0.234,km2,-1.567,0.38,0.06,0.0036,5.84509804,11.1758393,9.868493261
656,Petersen & Meier 2001,Steenstrupia 26:119-276,northern,,,,,terrestrial,,diptera,insects,omnivores,flying,flying,-2.301029996,no,independent ,,log-log,11,0.506219831,0.125,2.99382,km2,2.425,0.1498235,0.094564,0.00894235,10.47712125,11.5289167,17.22928615
657,Peterson et al 2000,Bird Conservation International 10: 149-167,,,,,,terrestrial,,birds,birds,omnivores,flying,flying,2.167739032,no,,,log-log,,,,1.202624524,km2,-0.282375476,0.2475,,,,,
658,Plotkin et al 2000,PNAS 97: 10850-10854,northern,2,2,,103,terrestrial,forest,trees >1 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,16,1.985655641,0.076923077,1.356,ha,-0.512,0.467,0.035,0.001225,1.301029996,5.687502207,4.792601781
659,Plotkin et al 2000,PNAS 97: 10850-10854,northern,3,3,,115,terrestrial,forest,trees >1 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,18,2.109500239,0.066666667,1.851,ha,-0.221,0.518,0.032,0.001024,0.666705136,5.708335903,4.748110467
660,Plotkin et al 2000,PNAS 97: 10850-10854,northern,10,10,,77,terrestrial,forest,trees >1 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,20,1.897233608,0.058823529,2.099,ha,0.099,0.5,0.036,0.001296,0.166726056,5.687502207,4.689930104
661,Plotkin et al 2000,PNAS 97: 10850-10854,northern,17,17,,100,terrestrial,forest,trees >1 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,20,2.013949731,0.058823529,2.607,ha,0.203,0.601,0.038,0.001444,0.041787319,5.666667711,4.684845362
662,Plotkin et al 2000,PNAS 97: 10850-10854,northern,9,9,,-80,terrestrial,forest,trees >1 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,20,1.921004602,0.058823529,2.508,ha,0.248,0.565,0.04,0.0016,0.062581984,5.666667711,4.679700381
663,Poff & Allan 1995,Ecology 76: 606-627,northern,,,,,water,streams,fishes,fish,omnivores,mobility,nekton,2.426,no,independent,,log-log,34,0.045030412,0.032258065,1.451,km2,1.373,0.013,0.051,0.002601,8.021189299,9.611935625,9.056030048
664,Pomeroy & Lewis 1987,Biol Conserv 40: 11-28,,,,,,terrestrial,,birds,birds,omnivores,flying,flying,1.62324929,no,independent,,log-log,56,1.521737659,0.018867925,2.174,km2,1.376,0.133,0.008,0.000064,4,12.37014285,11.54170446
665,Poore 1964,J of Animal Ecology 33: 213-226,northern,2,2,,102,terrestrial,forest,trees over 10 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,6,2.994480708,0.333333333,2.246,ha,-0.338,0.646,0.033,0.001089,2.442385688,4.207212523,3.796442499
666,Poore 1964,J of Animal Ecology 33: 213-226,northern,3,3,,103,terrestrial,forest,trees over 28 cm diam,plants,autotrophs,seeds,sessile,4.64,no,nested,,log-log,28,3.106303048,0.04,1.839,ha,-0.465,0.576,0.011,0.000121,3.673675083,10.22996838,5.02085497
